Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=1377.000000, bad_round=1378.000, slow_round=1377.000
Possible bug! f=1379.000000, bad_round=1380.000, slow_round=1379.000
Possible bug! f=1381.000000, bad_round=1382.000, slow_round=1381.000
Possible bug! f=1383.000000, bad_round=1384.000, slow_round=1383.000
Possible bug! f=1385.000000, bad_round=1386.000, slow_round=1385.000
Possible bug! f=1387.000000, bad_round=1388.000, slow_round=1387.000
Possible bug! f=1389.000000, bad_round=1390.000, slow_round=1389.000
Possible bug! f=1391.000000, bad_round=1392.000, slow_round=1391.000
Possible bug! f=1393.000000, bad_round=1394.000, slow_round=1393.000
Possible bug! f=1395.000000, bad_round=1396.000, slow_round=1395.000
Possible bug! f=1397.000000, bad_round=1398.000, slow_round=1397.000
Possible bug! f=1399.000000, bad_round=1400.000, slow_round=1399.000
Possible bug! f=1401.000000, bad_round=1402.000, slow_round=1401.000
Possible bug! f=1403.000000, bad_round=1404.000, slow_round=1403.000
Possible bug! f=1405.000000, bad_round=1406.000, slow_round=1405.000
Possible bug! f=1407.000000, bad_round=1408.000, slow_round=1407.000
Possible bug! f=1409.000000, bad_round=1410.000, slow_round=1409.000
Possible bug! f=1411.000000, bad_round=1412.000, slow_round=1411.000
Possible bug! f=1413.000000, bad_round=1414.000, slow_round=1413.000
Possible bug! f=1415.000000, bad_round=1416.000, slow_round=1415.000
Possible bug! f=1417.000000, bad_round=1418.000, slow_round=1417.000
Possible bug! f=1419.000000, bad_round=1420.000, slow_round=1419.000
Possible bug! f=1421.000000, bad_round=1422.000, slow_round=1421.000
Possible bug! f=1423.000000, bad_round=1424.000, slow_round=1423.000
Possible bug! f=1425.000000, bad_round=1426.000, slow_round=1425.000
Possible bug! f=1427.000000, bad_round=1428.000, slow_round=1427.000
Possible bug! f=1429.000000, bad_round=1430.000, slow_round=1429.000
Possible bug! f=1431.000000, bad_round=1432.000, slow_round=1431.000
